Rank,Fighter,Current_Rating,Peak_Rating,RD,Volatility,Fights,Wins,Losses,Draws,Weight_Class,Last_Fight
23,Magomed Ankalaev,1858.5,1880.5,90.1,0.06,16,12,2,2,Heavyweight,"October 04, 2025"
24,Natalia Silva,1857.4,1857.4,115.3,0.06,8,8,0,0,Women's Flyweight,"January 24, 2026"
25,Curtis Blaydes,1857.3,1882.9,85.4,0.06,20,14,3,3,Heavyweight,"June 21, 2025"
26,Gegard Mousasi,1853.7,1853.7,101.7,0.06,12,9,3,0,Middleweight,"April 08, 2017"
27,Ciryl Gane,1848.7,1911.6,105.2,0.06,13,10,1,2,Heavyweight,"October 25, 2025"
28,Alexander Volkov,1847.5,1849.7,86.8,0.06,18,13,5,0,Heavyweight,"October 25, 2025"
29,Benson Henderson,1847.0,1924.4,97.8,0.06,14,11,3,0,Welterweight,"November 28, 2015"
30,Nassourdine Imavov,1846.4,1846.4,98.7,0.06,12,9,2,1,Middleweight,"September 06, 2025"
31,Jack Della Maddalena,1839.8,1866.3,114.0,0.06,9,8,1,0,Welterweight,"November 15, 2025"
32,Jon Fitch,1838.8,1913.5,93.8,0.06,18,14,3,1,Welterweight,"February 02, 2013"
33,Sean Brady,1834.0,1866.2,106.7,0.06,10,8,2,0,Welterweight,"November 15, 2025"
34,Deiveson Figueiredo,1832.1,1900.2,82.5,0.06,21,14,6,1,Bantamweight,"January 24, 2026"
35,Cory Sandhagen,1831.1,1853.2,89.9,0.06,16,11,5,0,Bantamweight,"October 04, 2025"
36,Frank Shamrock,1830.0,1830.0,142.2,0.06,5,5,0,0,Heavyweight,"September 24, 1999"
37,Tom Aspinall,1829.5,1881.9,110.6,0.06,10,8,1,1,Heavyweight,"October 25, 2025"
38,Robert Whittaker,1823.7,1914.0,82.7,0.06,24,17,7,0,Middleweight,"July 26, 2025"
39,Glover Teixeira,1823.5,1870.7,81.7,0.06,23,16,7,0,Heavyweight,"January 21, 2023"
40,Caio Borralho,1823.3,1837.5,114.6,0.06,9,8,1,0,Middleweight,"March 07, 2026"
41,Carlos Prates,1823.3,1823.3,116.1,0.06,7,6,1,0,Welterweight,"November 15, 2025"
42,Yoel Romero,1822.9,1981.3,102.7,0.06,13,9,4,0,Middleweight,"March 07, 2020"
43,Brendan Allen,1821.3,1844.7,88.5,0.06,18,14,4,0,Middleweight,"October 18, 2025"
44,Lerone Murphy,1819.1,1851.4,107.6,0.06,11,9,1,1,Featherweight,"March 21, 2026"
45,Kamaru Usman,1814.4,2040.6,98.3,0.06,19,16,3,0,Welterweight,"June 14, 2025"
46,Zhang Weili,1813.0,1837.2,97.3,0.06,13,10,3,0,Women's Flyweight,"November 15, 2025"
47,Sean O'Malley,1811.9,1833.8,92.8,0.06,15,11,3,1,Bantamweight,"January 24, 2026"
48,Zabit Magomedsharipov,1811.5,1811.5,128.5,0.06,6,6,0,0,Featherweight,"November 09, 2019"
49,Manon Fiorot,1810.3,1838.5,115.7,0.06,9,8,1,0,Women's Flyweight,"October 18, 2025"
50,Dustin Poirier,1809.4,1881.8,82.3,0.06,32,22,9,1,Lightweight,"July 19, 2025"
51,Don Frye,1808.9,1808.9,115.3,0.06,10,9,1,0,Other,"December 07, 1996"
52,Grant Dawson,1805.0,1843.2,99.8,0.06,14,11,2,1,Lightweight,"December 06, 2025"
53,Israel Adesanya,1804.5,1973.4,93.9,0.06,19,13,6,0,Middleweight,"March 28, 2026"
54,Sergei Pavlovich,1803.9,1809.5,105.0,0.06,11,8,3,0,Heavyweight,"August 23, 2025"
55,Aiemann Zahabi,1800.0,1800.0,112.0,0.06,10,8,1,1,Bantamweight,"October 18, 2025"
56,Paddy Pimblett,1799.6,1833.7,116.9,0.06,8,7,1,0,Lightweight,"January 24, 2026"
57,Anthony Johnson,1799.2,1823.1,94.0,0.06,19,13,6,0,Heavyweight,"April 08, 2017"
58,Gabriel Bonfim,1798.6,1798.6,116.8,0.06,7,6,1,0,Welterweight,"November 08, 2025"
59,Alexandre Pantoja,1798.4,1825.3,89.8,0.06,18,14,4,0,Flyweight,"December 06, 2025"
60,Farid Basharat,1798.2,1798.2,126.5,0.06,6,6,0,0,Bantamweight,"February 07, 2026"
61,Belal Muhammad,1795.9,1859.6,88.9,0.06,21,15,5,1,Welterweight,"November 22, 2025"
62,Rinat Fakhretdinov,1793.5,1793.5,121.7,0.06,7,6,0,1,Welterweight,"September 06, 2025"
63,Ryan Bader,1792.6,1792.6,84.5,0.06,20,15,5,0,Heavyweight,"November 19, 2016"
64,Rory MacDonald,1791.2,1846.8,97.8,0.06,13,9,4,0,Welterweight,"June 18, 2016"
65,Carlos Ulberg,1790.9,1790.9,105.5,0.06,10,9,1,0,Heavyweight,"September 27, 2025"
66,Jiri Prochazka,1790.5,1836.6,118.0,0.06,8,6,2,0,Heavyweight,"October 04, 2025"
67,Sean Strickland,1788.3,1788.3,90.0,0.06,24,17,7,0,Middleweight,"February 21, 2026"
68,Song Yadong,1788.3,1830.1,90.9,0.06,16,11,4,1,Bantamweight,"January 24, 2026"
69,Michael Page,1787.8,1787.8,134.4,0.06,5,4,1,0,Welterweight,"March 21, 2026"
70,Joe Pyfer,1787.0,1787.0,112.6,0.06,8,7,1,0,Middleweight,"March 28, 2026"
71,Muhammad Mokaev,1784.0,1784.0,123.9,0.06,7,7,0,0,Flyweight,"July 27, 2024"
72,Joel Alvarez,1783.6,1783.6,115.0,0.06,10,8,2,0,Welterweight,"October 11, 2025"
73,Tatsuro Taira,1781.1,1781.1,113.1,0.06,9,8,1,0,Flyweight,"December 06, 2025"
74,Rustam Khabilov,1780.9,1808.3,107.1,0.06,13,10,3,0,Welterweight,"November 09, 2019"
75,Joshua Van,1777.8,1777.8,108.0,0.06,10,9,1,0,Flyweight,"December 06, 2025"
76,Derek Brunson,1777.0,1836.2,89.9,0.06,21,14,7,0,Middleweight,"March 04, 2023"
77,Waldo Cortes Acosta,1776.1,1776.1,99.0,0.06,12,10,2,0,Heavyweight,"January 24, 2026"
78,Phil Davis,1774.9,1818.9,101.6,0.06,13,9,3,1,Heavyweight,"January 24, 2015"
79,Azamat Murzakanov,1774.1,1774.1,129.3,0.06,6,6,0,0,Heavyweight,"October 25, 2025"
80,Jean Silva,1772.9,1778.6,117.4,0.06,7,6,1,0,Featherweight,"January 24, 2026"
81,Alistair Overeem,1772.8,1801.2,85.7,0.06,20,12,7,1,Heavyweight,"February 06, 2021"
82,Anthony Hernandez,1772.8,1804.5,101.5,0.06,12,9,3,0,Middleweight,"February 21, 2026"
83,Kenny Florian,1772.3,1831.8,93.4,0.06,17,12,4,1,Featherweight,"October 08, 2011"
84,Mateusz Gamrot,1769.8,1808.3,98.0,0.06,12,8,4,0,Lightweight,"October 11, 2025"
85,Leon Edwards,1769.6,1854.2,93.6,0.06,20,14,5,1,Welterweight,"November 15, 2025"
86,Mario Bautista,1769.6,1769.6,98.0,0.06,14,11,3,0,Bantamweight,"February 07, 2026"
